arg1,arg2,verb,sentence,verb_idx,label
finger,,prick, The nurse pricked my finger to get a small blood sample .,2,0
path,,ascend, The path ascended to the top of the hill .,2,0
result,,emerge, Some nice results emerged from the study .,3,1
bell,,recast, The bell cracked and had to be recast .,7,0
tornado,,rip, The tornado ripped along the coast .,2,1
ball,,juggle, the player juggled the ball .,2,0
kindness,,acknowledge, We must acknowledge the kindness she showed towards us .,2,0
water,,pound, The locks pound the water of the canal .,2,1
character,,form, form the young child 's character .,0,1
surface,,dull, Age had dulled the surface .,2,0
pig,,root, the pig was rooting for truffles .,3,0
sign,,paste, paste the sign on the wall .,0,0
republic,,neutralize, The treaty neutralized the small republic .,2,1
letter,,stamp, Are the letters properly stamped ?,4,0
grape,,ferment, We ferment the grapes for a very long time to achieve high alcohol content .,1,0
ice,,melt, The sun melted the ice .,2,0
man,,guard, There will be men guarding the horses .,4,0
needle,,pin, pin the needle to the shirt .,0,0
wound,,flush, flush the wound with antibiotics .,0,1
haircut,,compare, John compared his haircut to his friend 's .,1,0
composure,,ruffle, She wanted to ruffle his composure .,3,1
shot,,volley, Gun shots volleyed at the attackers .,2,0
lecture,,salt, She salts her lectures with jokes .,1,1
life,,breathe, He breathed new life into the old house .,1,1
bottle,,crush, The plastic bottle crushed against the wall .,3,0
champagne,,flow, The champagne flowed at the wedding .,2,1
mane,,stream, their manes streamed like stiff black pennants in the wind .,2,1
immigrant,,hunt, They hunted the unwanted immigrants out of the neighborhood .,1,1
office,,computerize, Our office is fully computerized now .,4,0
pregnancy,,interrupt, She interrupted her pregnancy .,1,1
dinner,,stuff, She stuffed herself at the dinner .,1,1
plane,,loop, The stunt pilot looped his plane .,3,0
jail,,land, this may land you in jail .,2,1
jewel,,lock, She locked her jewels in the safe .,1,0
shoulder,,twist, The wrestler twisted his shoulder .,2,0
wall,,spray, spray the wall with paint .,0,0
water,,stagnate, There are marshes that stagnate the waters .,4,0
earthquake,,convulse, earthquakes convulsed the countryside .,1,1
man,,march, He marched into the classroom and announced the exam .,1,0
wax,,melt, The wax melted in the sun .,2,0
market,,plunge, the stock market plunged .,3,1
plant,,root, this plant roots quickly .,2,0
book,,portray, The book portrays the actor as a selfish person .,2,1
tooth,,erupt, The tooth erupted and had to be extracted .,2,1
gas,,ignite, Marsh gases ignited suddenly .,2,0
curtain,,rip, The curtain ripped from top to bottom .,2,0
people,,communicate, He and his sons have n't communicated for years .,6,0
money,,scrape, She had scraped together enough money for college .,2,1
market,,drift, The stock market drifted upward .,3,1
man,,peep, He peeped at the woman through the window .,1,0
truck,,load, load the truck with hay .,0,0
possession,,guard, Please guard my possessions while I 'm away .,1,0
idea,,float, The Republicans are floating the idea of a tax reform .,3,1
outline,,trace, trace the outline of a figure in the sand .,0,0
people,,pour, People were pouring out of the theater .,2,1
ring,,smash, The police smashed the drug ring after they were tipped off .,2,1
log,,float, He floated the logs down the river .,1,0
sun,,radiate, The sun radiates heat .,2,0
girl,,glare, The girl glared at the man who tried to make a pass at her .,2,0
salt,,shake, Shake the salt out of the salt shaker .,0,0
approval,,nod, He nodded his approval .,1,0
feeling,,condense, Her feelings condensed .,2,1
essence,,capture, capture the essence of Spring   .,0,1
image,,sell, The French try to sell us their image as great lovers .,4,1
administration,,blister, The Senator blistered the administration in his speech on Friday .,2,1
fame,,redound, Fame redounds to the heroes .,1,1
ruble,,float, The government floated the ruble for a few months .,2,1
speaker,,attack, The editors of the left - leaning paper attacked the new House Speaker .,8,1
success,,wallow, wallow in your success !,0,1
cocaine,,snort, The addict was snorting cocaine almost every day .,3,0
back,,hurt, This exercise will hurt your back .,3,0
act,,commit, commit a random act of kindness .,0,0
husband,,nag, She nags her husband all day long .,1,0
person,,bow, He bowed before the King .,1,0
resident,,adhere, The residents of this village adhered to Catholicism .,5,1
child,,fill, fill the child with pride .,0,1
economy,,deflate, The new measures deflated the economy .,3,1
wall,,paste, paste the sign on the wall .,0,0
critic,,snort, The critic snorted contemptuously .,2,1
water,,splash, She splashed the water around her .,1,0
name,,stamp, a man whose name is permanently stamped on our maps .,6,1
meteor,,shower, Meteors showered down over half of Australia .,1,0
deer,,trace, The hunters traced the deer into the woods .,2,0
belly,,swell, The bellies of the starving children are swelling .,7,0
man,,swim, We had to swim for 20 minutes to reach the shore .,3,0
mountain,,negociate, The hiker negociated the high mountain pass .,2,1
book,,lay, lay the books on the table .,0,0
listener,,bolt, The listeners bolted when he discussed his strange ideas .,2,1
actor,,melt, Hundreds of actors were melting into the scene .,4,1
road,,steamroller, steamroller the road .,0,0
rifle,,lean, He leaned his rifle against the wall .,1,0
infection,,spread, the infection spread .,2,0
criticism,,level, level criticism or charges at somebody .,0,1
water,,drain, The rain water drains into this big vat .,3,0
building,,gutter, The roofer began to gutter the buildings .,4,0
man,,revive, The doctors revived the comatose man .,2,0
crowd,,convulse, The comedian convulsed the crowd .,2,1
man,,nod, The old man was nodding in his chair .,4,0
face,,puff, Her faced puffed up from the drugs .,2,0
idea,,recapture, The author recaptures an old idea here .,2,1
inheritance,,ascend, Inheritance may not ascend linearly .,3,1
cost,,absorb, He absorbed the costs for the accident .,1,1
wallpaper,,adhere, Will this wallpaper adhere to the wall ?,3,0
cup,,engrave, engraved the trophy cupt with the winner 's .,0,0
bath,,relax, A hot bath always relaxes me .,4,0
snow,,drift, snow drifting several feet high .,1,0
boar,,hunt, Goering often hunted wild boars in Poland .,2,0
car,,fuel," fuel aircraft , ships , and cars .",0,0
freighter,,tug, The tugboat tugged the freighter into the harbor .,2,0
letter,,scrape, They scraped a letter into the stone .,1,0
river,,thunder, The river thundered below .,2,1
trouble,,spell, I 'm afraid this spells trouble !,4,1
liter,,drink, The patient must drink several liters each day .,3,0
moon,,peep, The new moon peeped through the tree tops .,3,1
field,,salt, the rebels had salted the fields with mines and traps .,3,1
skin,,prick, The needle pricked his skin .,2,0
society,,infect, society was infected by racism .,2,1
mountain,,splash, The mountain was splashed with snow .,3,1
mind,,poison, poison someone 's mind .,0,1
eyesight,,inherit, I inherited my good eyesight from my mother .,1,0
people,,erase, The Turks erased the Armenians in 1915 .,2,1
police,,raid, The police raided the crack house .,2,0
school,,build, The government is building new schools in this state .,3,0
bullet,,whistle, The bullets whistled past him .,2,1
story,,swallow, Am I supposed to swallow that story ?,4,1
judgement,,color, My personal feelings color my judgment in this case .,3,1
bottle,,explode, The champagne bottle exploded .,3,0
poland,,attack," Hitler attacked Poland on September 1 , 1939 and started World War II .",1,0
ocean,,sail, We sailed the Atlantic .,1,0
dress,,spot, This dress spots quickly .,2,0
boss,,explode, The boss exploded when he heard of the resignation of the secretary .,2,1
boat,,tack, The sailors decided to tack the boat .,4,0
person,,transform, He transformed into a monster .,1,1
society,,ferment, Islam is fermenting Africa .,2,1
bike,,lock, Lock the bike to the fence !,0,0
mechanism,,jam, the mechanism jammed .,2,0
witness,,pump, She pumped the witnesses for information .,1,1
dress,,mold, The dress molds her beautiful figure .,2,1
woman,,push," "" Now push hard "" , said the doctor to the woman .",2,0
bill,,stagger, She was staggered with bills after she tried to rebuild her house following the earthquake .,2,1
meat,,salt, people used to salt meats on ships .,3,0
cold,,pierce, The cold pierced her bones .,2,1
fortune,,vest, She vested her vast fortune in her two sons .,1,0
meeting,,crown, The speech crowned the meeting .,2,1
yellow,,wear, She was wearing yellow that day .,2,0
trouble,,drown, She drowned her trouble in alcohol .,1,1
hope,,shake, The bad news shook her hopes .,3,1
interest,,absorb, Her interest in butterflies absorbs her completely .,4,1
image,,shed, He shed his image as a pushy boss .,1,1
idea,,square, one idea squares with the other one .,2,1
cat,,scrape, The cat scraped at the armchair .,2,0
information,,digest, I can not digest all this information .,3,1
ball,,bounce, The rubber ball bounced .,3,0
worker,,suck, The current boom in the economy sucked many workers in from abroad .,6,1
worker,,spell, the workers spell every four hours .,2,1
tear,,stream, Tears streamed down her face .,1,0
democracy,,uproot, The vestiges of political democracy were soon uprooted .,7,1
pound,,down, Some people can down a pound of meat in the course of one meal .,3,1
word,,drink, The mother drinks in every word of her son on the stage .,2,1
paint,,dash, blue paint dashed with white .,2,0
volcano,,erupt, Vesuvius erupts once in a while .,1,0
immigrant,,absorb, The immigrants were quickly absorbed into society .,4,1
tree,,line, trees line the riverbank .,1,1
price,,climb, Sales were climbing after prices were lowered .,2,1
courage,,salute, I salute your courage !,1,1
forest,,scorch, The wildfire scorched the forest and several homes .,2,0
intern,,rotate, Interns have to rotate for a few months .,3,1
action,,talk, Actions talk louder than words .,1,1
train,,precipitate, The bridge broke and precipitated the train into the river below .,4,1
ground,,level, The ground levelled off .,2,0
action,,key, key one 's actions to the voters ' prevailing attitude .,0,1
garbage,,dump, The truck dumped the garbage in the street .,2,0
news,,leak, The news were leaked to the paper .,3,1
book,,bind, They bind their books in leather .,1,0
business,,hurt, Our business was hurt by the new competition .,3,1
mushroom,,poison, This mushrooms can poison .,3,0
bug,,ping, The bugs pinged the lamp shade .,2,0
road,,reflect, Drive carefully -- the wet road reflects .,6,0
plane,,buzz, Planes buzzed the crowds in the square .,1,0
water,,flow, Water flowed into the cave .,1,0
cheese,,crawl, The old cheese was crawling with maggots .,4,1
child,,drown, The child drowned in the lake .,2,0
meat,,swim, the meat was swimming in a fatty gravy .,3,1
slide,,mount, mount slides for macroscopic analysis .,0,0
bird,,land, The bird landed on the highest branch .,2,0
disk,,erase, Who erased the files form my hard disk ?,1,0
pine,,blaze, The summer sun alone can cause a pine to blaze .,9,0
dress,,fasten, This dress fastens in the back .,2,0
meat,,smother, smother the meat in gravy .,0,0
responsibility,,lay, lay a responsibility on someone .,0,1
unrest,,erupt, Unrest erupted in the country .,1,1
experience,,mellow, Age and experience mellowed him over the years .,3,1
surface,,ruffle, The wind ruffled the surface of the water .,2,0
knee,,lock, The therapist noticed that the patient 's knees tended to lock in this exercise .,10,0
poland,,invade," Hitler invaded Poland on September 1 , 1939 .",1,0
conversation,,lighten, the conversation lightened me up a bit .,2,1
formula,,erase, Please erase the formula on the blackboard -- it is wrong !,1,0
mattress,,deflate, deflate the air mattress .,0,0
dictionary,,computerize, Please use a computerized disctionary .,3,0
candidate,,sift, They sifted through the job candidates .,1,1
fly,,tie, The fishermen tied their flies .,2,0
fabric,,ruffle, The seamstress ruffled the curtain fabric .,2,0
fort,,recapture, The military forces managed to recapture the fort .,5,0
suit,,brush, She brushed the suit before hanging it back into the closet .,1,0
building,,level, The building was levelled .,3,0
car,,smash, She smashed her car against the guard rail .,1,0
cheese,,spread, spread cheese on a piece of bread .,0,0
blow,,land, He landed several blows on his opponent 's head .,1,1
nose,,stuff, My nose is all stuffed .,4,0
house,,sit, The White House sits on Pennsylvania Avenue .,3,1
drug,,push, The guy hanging around the school is pushing drugs .,7,1
person,,lock, They were locked in embrace .,2,1
flower,,nod, the flowers were nodding in the breeze .,3,1
tanker,,fuel, The tanker fueled in Bahrain .,2,0
container,,leak, The container leaked gasoline .,2,0
heat,,ignite, Great heat can ignite almost any dry matter .,3,0
wall,,color, color the walls with paint in warm tones .,0,0
question,,answer, The question concerning the meaning of life can not be answered .,10,0
man,,stagger, The drunken man staggered into the room .,3,0
crocodile,,crawl, The crocodile was crawling along the riverbed .,3,0
tree,,top, A star tops the Christmas Tree .,2,0
needle,,pierce, The needle pierced her flesh .,2,0
plant,,immigrate, only few plants can immigrate to the island .,4,1
intelligence,,flash, The latest intelligence is flashed to all command posts .,4,1
spasm,,convulse, The spasm convulses her facial muscles .,2,0
indifference,,steam, her indifference to his amorous advances really steamed the young man .,7,1
home,,devour, Fire had devoured our home .,2,1
living,,tug, She tugged for years to make a decent living .,1,1
debate,,fuel, fuel the debate on creationism .,0,1
horse,,clog, horses were clogged until they were tamed .,2,1
snake,,swim, this snake swims through the soil where it lives .,2,0
suffering,,repair, One can never fully repair the suffering and losses of the Jews in the Third Reich .,4,1
story,,grab, This story will grab you .,3,1
firefly,,glow, The fireflies were glowing and flying about in the garden .,3,0
car,,ruin, You have ruined my car by pouring sugar in the tank !,2,0
smoke,,cloud, The smoke clouded above the houses .,2,0
debate,,sharpen, The debate sharpened .,2,1
toy,,crush, The car crushed the toy .,2,0
star,,flash, A shooting star flashed and was gone .,3,0
tablecloth,,spot, The wine spotted the tablecloth .,2,0
doubt,,nag, nagging concerns and doubts .,0,1
prince,,crown, The prince was crowned in Westminster Abbey .,3,0
check,,kite, He kited many checks .,1,1
lungs,,invade, The cancer had invaded her lungs .,3,1
village,,attack, The Serbs attacked the village at night .,2,0
wood,,square, square the wood with a file .,0,0
opponent,,paste, He pasted his opponent .,1,1
currency,,inflate, inflate the currency .,0,1
brain,,swim, my brain is swimming after the bottle of champagne .,3,1
idea,,color, His political ideas color his lectures .,3,1
fifty,,push, She is pushing fifty .,2,1
question,,pose, This poses an interesting question .,1,1
happiness,,radiate, She radiates happiness .,1,1
rage,,visit, The principal visited his rage on the students .,2,1
woman,,lean, She leaned over the banister .,1,0
vessel,,shipwreck, The vessel was shipwrecked .,3,0
alcohol,,abuse, Her husband often abuses alcohol .,3,1
wave,,swallow, The huge waves swallowed the small boat and it sank shortly thereafter .,3,1
salesman,,push, The salesman is aggressively pushing the new computer model .,4,1
vision,,blur, The fog blurs my vision .,2,0
word,,swallow, She swallowed the last words of her speech .,1,1
personality,,compose, Greed and ambition composed his personality .,3,1
deed,,acknowledge, acknowledge the deed .,0,0
feeling,,wrestle, He wrestled all his life with his feeling of inferiority .,1,1
water,,leak, Water leaked out of the can into the backpack .,1,0
rash,,erupt, A rash erupted on her arms after she had touched the exotic plant .,2,1
economy,,inflate, The war inflated the economy .,2,1
drawing,,color, The child colored the drawings .,2,0
heat,,scorch, The heat scorched the countryside .,2,1
curse,,volley, I heard him volley a string of curses .,3,1
tax,,absorb, The sales tax is absorbed into the state income tax .,4,1
woman,,grope, He made some sexual advances at the woman in his office and groped her repeatedly .,12,0
piece,,match, The two pieces match .,3,0
sorrow,,map, sorrow was mapped on the mother 's face .,2,1
suspect,,down, The policeman downed the heavily armed suspect .,2,0
heat,,radiate, The sun radiates heat .,2,0
bolt,,fracture, The pothole fractured a bolt on the axle .,2,0
hair,,brush, Johnson brushed the hairs from his jacket .,1,0
grape,,tread, tread grapes to make wine .,0,0
child,,wrestle, The children wrestled in the garden .,2,0
moon,,glare, The moon glared back at itself from the lake 's surface .,2,1
baby,,talk, The baby talks already .,2,0
son,,drift, My son drifted around for years in California before going to law school .,2,1
press,,besiege, The press photographers besieged the movie star .,3,1
account,,juggle, juggle an account so as to hide a deficit .,0,1
bomb,,explode, We exploded the nuclear bomb .,1,0
light,,flash, The lights were flashing .,3,0
optimism,,whistle, Her optimism whistled away these worries .,2,1
wall,,brush, He brushed the wall lightly .,1,0
policeman,,abuse, The actress abused the policeman who gave her a parking ticket .,2,0
people,,immigrate, Many people immigrated at the beginning of the 20th century .,2,0
tear,,shed, She shed a lot of tears when this happened .,1,0
dream,,match, This job does n't match my dreams .,4,1
word,,spell, How do you spell this word ?,3,0
defendant,,answer, The defendant answered to all the charges of the prosecution .,2,0
plate,,dash, He dashed the plate against the wall .,1,0
laughing,,lock, He was locked in a laughing fit .,2,1
cart,,tug, The horse finally tugged the cart out of the mud .,3,0
court,,sit, When does the court of law sit ?,6,1
scream,,pierce, The scream pierced the night .,2,1
distinction,,blur, The distinction between the two theories blurred .,6,1
suit,,design, Chanel designed the famous suit .,1,0
muscle,,convulse, The muscles in her face convulsed .,5,0
cream,,smother, the butter cream smothered the cake .,3,1
smile,,wear, He always wears a smile .,2,1
solution,,neutralize, She neutralized the solution .,1,0
vienna,,besiege, The Turks besieged Vienna .,2,0
knocker,,pound, the salesman pounded the door knocker .,2,0
prisoner,,pound, The prisoners are safely pounded .,4,1
child,,crawl, European children learn the breast stroke ; they often do n't know how to crawl .,14,0
wine,,taste, We tasted wines last night .,1,0
table,,push, He pushed the table into a corner .,1,0
soldier,,salute," When the officers show up , the soldiers have to salute .",10,0
problem,,root, The problem roots in her depression .,2,1
animal,,stampede, Thunderbolts can stampede animals .,2,0
anger,,swallow, I swallowed my anger and kept quiet .,1,1
man,,drift, The unknown young man drifted among the invited guests .,4,1
crop,,rotate, We rotate the crops so as to maximize the use of the soil .,1,1
dancer,,float, The dancer floated across the stage .,2,1
shoulder,,square, He squared his shoulders .,1,1
love,,buy, She wanted to buy his love with her dedication to him and his work .,3,0
circumstance,,trace, She traced the circumstances of her birth .,1,1
prisoner,,recapture, They tried to recapture the escaped prisoner .,3,0
melody,,whistle, She whistled a melody .,1,0
energy,,transform, It can transform energy to light .,2,0
hair,,curl," Curl my hair , please .",0,0
disease,,communicate, communicate a disease .,0,1
currency,,deflate, deflate the currency .,0,1
nation,,build, build a modern nation .,0,1
father,,portray, The father is portrayed as a good - looking man in this painting .,3,0
nightingale,,sing, The nightingale was singing .,3,0
servant,,buzz, he buzzed the servant .,1,1
furniture,,mold, The furniture molded in the old house .,2,0
woman,,talk, She talks a lot of nonsense .,1,0
notice,,tack, tack the notice on the board .,0,0
apple,,mellow, These apples need to mellow a bit more .,4,0
mountain,,ascend, We ascended the mountain .,1,0
symphony,,compose, Beethoven composed nine symphonies .,1,0
wing,,flap, The bird flapped its wings .,2,0
story,,buy, I ca n't buy this story .,3,1
wood,,swell, The water swells the wood .,2,0
blood,,stagnate, blood stagnates in the capillaries .,1,0
woman,,sing, She was singing while she was cooking .,2,0
property,,vest, The property vests in the trustees .,2,0
people,,uproot, The war uprooted many people .,2,1
dog,,shed, Our dog sheds every Spring .,2,0
boat,,drift, drift the boats downstream .,0,0
tank,,drain, We drained the oil tank .,1,0
government,,bow, The government bowed to the military pressure .,2,1
money,,pour, We poured money into the education of our children .,1,1
price,,drift, stock prices are drifting higher .,3,1
pig,,wallow, pigs were wallowing in the mud .,2,0
gun,,kick, The gun kicked back into my shoulder .,2,0
soldier,,trench, trench the fallen soldiers .,0,0
room,,lighten, The room lightened up .,2,0
system,,reform, reform a political system .,0,0
proprietor,,emerge," Suddenly , the proprietor emerged from his office .",4,0
party,,negociate, The parties negociated all night .,2,0
student,,plunge, The professor plunged his students into the study of the Italian text .,2,1
laughter,,infect, His laughter infects everyone who is in the same room .,2,1
bird,,tread, male birds tread the females .,2,0
cancer,,attack, The cancer cells are attacking his liver .,4,1
crowd,,flow, The crowd flowed out of the stadium .,2,1
protein,,digest, Protein digests in a few hours .,1,0
doorknob,,claw, She clawed the doorknob .,1,1
argument,,sharpen, We had to sharpen our arguments .,3,1
prisoner,,march, The Japanese marched their prisoners through Manchuria .,2,0
room,,communicate, The rooms communicated .,2,1
optimism,,neutralize, Her optimism neutralizes his gloom .,2,1
colleague,,relax, our new colleague relaxed when he saw that we were a friendly group .,3,0
country,,swallow, The Nazis swallowed the Baltic countries .,2,1
pen,,engrave, engrave the pen with the owner 's name .,0,0
spaceship,,blaze, The spaceship blazed out into space .,2,1
interest,,revive, Interest in ESP revived .,3,1
stench,,salute, a terrible stench saluted our nostrils .,3,1
vaccine,,guard, This vaccine will guard you against infection .,3,1
ball,,volley, They began to volley the tennis ball .,3,0
workers,,abuse, This boss abuses his workers .,2,0
sky,,flush, the sky flushed with rosy splendor .,2,1
ground,,sow, sow the ground with sunflower seeds .,0,0
shoe,,sell, The brothers sell shoes .,2,0
architect,,build, These architects build in interesting and new styles .,2,0
experience,,transform, This experience transformed her completely .,2,1
finding,,preserve, We preserve these archeological findings .,1,0
mind,,grope, His mind groped to make the connection .,2,1
hand,,grab, She grabbed the child 's hand and ran out of the room .,1,0
confidence,,deflate, The bad review of his work deflated his self - confidence .,6,1
car,,compare, This car does not compare with our line of Mercedes .,4,0
boy,,gravitate, Boys gravitate towards girls at that age .,1,1
sum,,buy, This sum will buy you a ride on the train .,3,0
economy,,boost, The tax cut will boost the economy .,4,1
telephone,,answer, answer the telephone .,0,0
person,,stamp, stamp fruit extract the juice .,0,1
camp,,trench, He trenched his military camp .,1,0
mind,,clog, Fear clogged her mind .,1,1
fabric,,breathe, Our new synthetic fabric breathes and is perfect for summer wear .,4,1
theatre,,jam, the theater was jampacked .,3,1
colleague,,invade, This new colleague invades my territory .,3,1
water,,spray, spray water on someone .,0,0
submission,,acknowledge, The program committee acknowledged the submission of the authors of the paper .,3,0
refusal,,crush, She was crushed by his refusal of her invitation .,2,1
disapproval,,snort, she snorted her disapproval of the proposed bridegroom .,1,1
heart,,palpitate, Her violent feelings palpitated the young woman 's heart .,3,0
opposition,,steamroller, steamroller the opposition .,0,1
athlete,,match, Let them match their best athletes against ours .,2,1
water,,spray, Water sprayed all over the floor .,1,0
dynasty,,compare, We can compare the Han dynasty to the Romans .,2,0
village,,flood, The swollen river flooded the village .,3,0
haze,,blur, The haze blurs the hills .,2,0
husband,,poison, She poisoned her husband .,1,0
steering,,answer, The steering of my new car answers to the slightest touch .,6,1
excuse,,design, She designed a good excuse for not attending classes that day .,1,1
room,,paint, We painted the rooms yellow .,1,0
company,,stampede, Companies will now stampede to release their latest software .,3,1
interest,,reflect, His lack of interest in the project reflects badly on him .,7,1
hair,,wear, wear one 's hair in a certain way .,0,0
garlic,,taste, Can you taste the garlic ?,2,0
galaxy,,map, We have n't even begun to map the many galaxies that we know exist .,6,0
kettle,,sing, the kettle was singing .,3,1
life,,drain, Life in the camp drained him .,4,1
load,,lighten, she lightened the load on the tired donkey .,1,0
woman,,pose, We do n't know the woman who posed for Leonardo so often .,7,0
industry,,computerize, They computerized the car industry .,1,0
water,,pour, They poured water over the floor .,1,0
headline,,scan, She scanned the newspaper headlines while waiting for the taxi .,1,1
conscience,,prick, The thought of her unhappiness pricked his conscience .,5,1
feeling,,palpitate, His heart palpitated .,2,1
system,,abuse, Do n't abuse the system .,2,1
content,,condense, condense the contents of a book into a summary .,0,1
praise,,shower, He was showered with praise .,2,1
industry,,stagnate, Industry will stagnate if we do not stimulate our economy .,2,1
jet,,tie, These big jets are tied to large airports .,4,1
ego,,puff, The sudden fame puffed her ego .,3,1
career,,shipwreck, You have shipwrecked my career .,2,1
memory,,cloud, The stroke clouded memories of her youth .,2,1
lens,,grind, grind lenses for glasses and cameras .,0,0
water,,pour, They poured water over the floor .,1,0
program,,interrupt, We interrupt the program for the following messages .,1,0
illness,,visit," Every summer , we visited our relatives in the country for a month .",4,1
area,,spot, spot the areas that one should clearly identify .,0,0
bicycle,,loop, The bicycle looped around the tree .,2,1
star,,gravitate, The stars gravitate towards each other .,2,0
chair,,stagger, The architect decided to stagger the chairs in the lecture hall .,4,0
pool,,fill, The pool slowly filled with water .,3,0
chance,,ruin, This behavior will ruin your chances of winning the election .,3,1
