arg1,arg2,verb,sentence,verb_idx,label,lemma,pos,tag,dep,entity,entity_tag,chunk,knowledge,sentiment,sentiment_score
crisis,,precipitate, The crisis precipitated by Russia 's revolution .,2,1,  the crisis precipitate by Russia 's revolution .,SPACE DET NOUN VERB ADP PROPN PART NOUN PUNCT,_SP DT NN VBN IN NNP POS NN ., det ROOT acl agent poss case pobj punct,Russia,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('crisis', 'NN', 'O'), ('precipitated', 'VBN', 'O'), ('by', 'IN', 'O'), ('Russia', 'NNP', 'B-GPE'), (""'s"", 'POS', 'O'), ('revolution', 'NN', 'O'), ('.', '.', 'O')]","[(' The crisis', 'NP', 'crisis'), (""Russia 's revolution"", 'NP', 'revolution')]",none,neutral,"{'neg': 0.406, 'neu': 0.594, 'pos': 0.0, 'compound': -0.6249}"
fear,,seize, Fear seized the prisoners .,1,1,  Fear seize the prisoner .,SPACE PROPN VERB DET NOUN PUNCT,_SP NNP VBD DT NNS ., nsubj ROOT det dobj punct,,"[(' ', '_SP', 'O'), ('Fear', 'NNP', 'O'), ('seized', 'VBD', 'O'), ('the', 'DT', 'O'), ('prisoners', 'NNS', 'O'), ('.', '.', 'O')]","[(' Fear', 'NP', 'Fear'), ('the prisoners', 'NP', 'prisoners')]",none,negative,"{'neg': 0.765, 'neu': 0.235, 'pos': 0.0, 'compound': -0.7579}"
bullet,,pump, He pumped bullets into the dummy .,1,1,  -PRON- pump bullet into the dummy .,SPACE PRON VERB NOUN ADP DET NOUN PUNCT,_SP PRP VBD NNS IN DT NN ., nsubj ROOT dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('He', 'PRP', 'O'), ('pumped', 'VBD', 'O'), ('bullets', 'NNS', 'O'), ('into', 'IN', 'O'), ('the', 'DT', 'O'), ('dummy', 'NN', 'O'), ('.', '.', 'O')]","[(' He', 'NP', 'He'), ('bullets', 'NP', 'bullets'), ('the dummy', 'NP', 'dummy')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
tear,,gutter, Tears guttered down her face .,1,1,  tear gutter down -PRON- face .,SPACE NOUN VERB ADP DET NOUN PUNCT,_SP NNS VBD IN PRP$ NN ., nsubj ROOT prt poss pobj punct,,"[(' ', '_SP', 'O'), ('Tears', 'NNS', 'O'), ('guttered', 'VBD', 'O'), ('down', 'IN', 'O'), ('her', 'PRP$', 'O'), ('face', 'NN', 'O'), ('.', '.', 'O')]","[(' Tears', 'NP', 'Tears'), ('her face', 'NP', 'face')]",none,neutral,"{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.2263}"
building,,crown, A weather vane crowns the building .,3,1,  a weather vane crown the building .,SPACE DET NOUN NOUN VERB DET NOUN PUNCT,_SP DT NN NN VBZ DT NN ., det compound nsubj ROOT det dobj punct,,"[(' ', '_SP', 'O'), ('A', 'DT', 'O'), ('weather', 'NN', 'O'), ('vane', 'NN', 'O'), ('crowns', 'VBZ', 'O'), ('the', 'DT', 'O'), ('building', 'NN', 'O'), ('.', '.', 'O')]","[('weather vane', 'NP', 'vane'), ('the building', 'NP', 'building')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
state,,tax, The State taxes alcohol heavily .,2,0,  the state tax alcohol heavily .,SPACE DET NOUN VERB NOUN ADV PUNCT,_SP DT NN VBZ NN RB ., det compound nsubj ROOT advmod punct,State,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('State', 'NN', 'B-ORG'), ('taxes', 'VBZ', 'O'), ('alcohol', 'NN', 'O'), ('heavily', 'RB', 'O'), ('.', '.', 'O')]","[(' The State taxes alcohol', 'NP', 'alcohol')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
suspense,,build, Suspense was building right from the beginning of the opera .,2,1,  Suspense be build right from the beginning of the opera .,SPACE PROPN AUX VERB ADV ADP DET NOUN ADP DET NOUN PUNCT,_SP NNP VBD VBG RB IN DT NN IN DT NN ., nsubj aux ROOT advmod prep det pobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('Suspense', 'NNP', 'O'), ('was', 'VBD', 'O'), ('building', 'VBG', 'O'), ('right', 'RB', 'O'), ('from', 'IN', 'O'), ('the', 'DT', 'O'), ('beginning', 'NN', 'O'), ('of', 'IN', 'O'), ('the', 'DT', 'O'), ('opera', 'NN', 'O'), ('.', '.', 'O')]","[(' Suspense', 'NP', 'Suspense'), ('the beginning', 'NP', 'beginning'), ('the opera', 'NP', 'opera')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
sound,,reflect, Sound is reflected well in this auditorium .,2,0,  Sound be reflect well in this auditorium .,SPACE PROPN AUX VERB ADV ADP DET NOUN PUNCT,_SP NNP VBZ VBN RB IN DT NN ., nsubjpass auxpass ROOT advmod prep det pobj punct,,"[(' ', '_SP', 'O'), ('Sound', 'NNP', 'O'), ('is', 'VBZ', 'O'), ('reflected', 'VBN', 'O'), ('well', 'RB', 'O'), ('in', 'IN', 'O'), ('this', 'DT', 'O'), ('auditorium', 'NN', 'O'), ('.', '.', 'O')]","[(' Sound', 'NP', 'Sound'), ('this auditorium', 'NP', 'auditorium')]",none,neutral,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.2732}"
pilot,,kite, The pilot kited for a long time over the mountains .,2,0,  the pilot kite for a long time over the mountain .,SPACE DET NOUN VERB ADP DET ADJ NOUN ADP DET NOUN PUNCT,_SP DT NN VBD IN DT JJ NN IN DT NNS ., det nsubj ROOT prep det amod pobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('pilot', 'NN', 'O'), ('kited', 'VBD', 'O'), ('for', 'IN', 'O'), ('a', 'DT', 'O'), ('long', 'JJ', 'O'), ('time', 'NN', 'O'), ('over', 'IN', 'O'), ('the', 'DT', 'O'), ('mountains', 'NNS', 'O'), ('.', '.', 'O')]","[(' The pilot', 'NP', 'pilot'), ('a long time', 'NP', 'time'), ('the mountains', 'NP', 'mountains')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
fate,,lie, The fate of Bosnia lies in the hands of the West .,4,1,  the fate of Bosnia lie in the hand of the West .,SPACE DET NOUN ADP PROPN VERB ADP DET NOUN ADP DET PROPN PUNCT,_SP DT NN IN NNP VBZ IN DT NNS IN DT NNP ., det nsubj prep pobj ROOT prep det pobj prep det pobj punct,Bosnia West,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('fate', 'NN', 'O'), ('of', 'IN', 'O'), ('Bosnia', 'NNP', 'B-GPE'), ('lies', 'VBZ', 'O'), ('in', 'IN', 'O'), ('the', 'DT', 'O'), ('hands', 'NNS', 'O'), ('of', 'IN', 'O'), ('the', 'DT', 'O'), ('West', 'NNP', 'B-LOC'), ('.', '.', 'O')]","[(' The fate', 'NP', 'fate'), ('Bosnia', 'NP', 'Bosnia'), ('the hands', 'NP', 'hands'), ('the West', 'NP', 'West')]",none,neutral,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.4215}"
ambition,,dash, dashed ambitions and hopes .,0,1,  dash ambition and hope .,SPACE VERB NOUN CCONJ NOUN PUNCT,_SP VBD NNS CC NNS ., ROOT dobj cc conj punct,,"[(' ', '_SP', 'O'), ('dashed', 'VBD', 'O'), ('ambitions', 'NNS', 'O'), ('and', 'CC', 'O'), ('hopes', 'NNS', 'O'), ('.', '.', 'O')]","[('ambitions', 'NP', 'ambitions'), ('hopes', 'NP', 'hopes')]",none,neutral,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}"
poison,,suck, suck the poison from the place where the snake bit .,0,0,  suck the poison from the place where the snake bit .,SPACE VERB DET NOUN ADP DET NOUN ADV DET NOUN NOUN PUNCT,_SP VBP DT NN IN DT NN WRB DT NN NN ., ROOT det dobj prep det pobj advmod det compound relcl punct,,"[(' ', '_SP', 'O'), ('suck', 'VBP', 'O'), ('the', 'DT', 'O'), ('poison', 'NN', 'O'), ('from', 'IN', 'O'), ('the', 'DT', 'O'), ('place', 'NN', 'O'), ('where', 'WRB', 'O'), ('the', 'DT', 'O'), ('snake', 'NN', 'O'), ('bit', 'NN', 'O'), ('.', '.', 'O')]","[('the poison', 'NP', 'poison'), ('the place', 'NP', 'place')]",none,neutral,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.7506}"
relative,,visit," Every summer , we visited our relatives in the country for a month .",4,0,"  every summer , -PRON- visit -PRON- relative in the country for a month .",SPACE DET NOUN PUNCT PRON VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT,"_SP DT NN , PRP VBD PRP$ NNS IN DT NN IN DT NN .", det npadvmod punct nsubj ROOT poss dobj prep det pobj prep det pobj punct,a month,"[(' ', '_SP', 'O'), ('Every', 'DT', 'O'), ('summer', 'NN', 'O'), (',', ',', 'O'), ('we', 'PRP', 'O'), ('visited', 'VBD', 'O'), ('our', 'PRP$', 'O'), ('relatives', 'NNS', 'O'), ('in', 'IN', 'O'), ('the', 'DT', 'O'), ('country', 'NN', 'O'), ('for', 'IN', 'O'), ('a', 'DT', 'B-DATE'), ('month', 'NN', 'I-DATE'), ('.', '.', 'O')]","[('we', 'NP', 'we'), ('our relatives', 'NP', 'relatives'), ('the country', 'NP', 'country'), ('a month', 'NP', 'month')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
plan,,condense, Congress condensed the three - year plan into a six - month plan .,1,1,  Congress condense the three - year plan into a six - month plan .,SPACE PROPN VERB DET NUM PUNCT NOUN NOUN ADP DET NUM PUNCT NOUN NOUN PUNCT,_SP NNP VBD DT CD HYPH NN NN IN DT CD HYPH NN NN ., nsubj ROOT det nummod punct compound dobj prep det nummod punct compound pobj punct,Congress three - year six - month,"[(' ', '_SP', 'O'), ('Congress', 'NNP', 'B-ORG'), ('condensed', 'VBD', 'O'), ('the', 'DT', 'O'), ('three', 'CD', 'B-DATE'), ('-', 'HYPH', 'I-DATE'), ('year', 'NN', 'I-DATE'), ('plan', 'NN', 'O'), ('into', 'IN', 'O'), ('a', 'DT', 'O'), ('six', 'CD', 'B-DATE'), ('-', 'HYPH', 'I-DATE'), ('month', 'NN', 'I-DATE'), ('plan', 'NN', 'O'), ('.', '.', 'O')]","[(' Congress', 'NP', 'Congress'), ('the three - year plan', 'NP', 'plan'), ('a six - month plan', 'NP', 'plan')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
bus,,thunder, The bus thundered down the road .,2,1,  the bus thunder down the road .,SPACE DET NOUN VERB ADP DET NOUN PUNCT,_SP DT NN VBD IN DT NN ., det nsubj ROOT prep det pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('bus', 'NN', 'O'), ('thundered', 'VBD', 'O'), ('down', 'IN', 'O'), ('the', 'DT', 'O'), ('road', 'NN', 'O'), ('.', '.', 'O')]","[(' The bus', 'NP', 'bus'), ('the road', 'NP', 'road')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
problem,,inherit, The new chairman inherited many problems from the previous chair .,3,1,  the new chairman inherit many problem from the previous chair .,SPACE DET ADJ NOUN VERB ADJ NOUN ADP DET ADJ NOUN PUNCT,_SP DT JJ NN VBD JJ NNS IN DT JJ NN ., det amod nsubj ROOT amod dobj prep det amod pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('new', 'JJ', 'O'), ('chairman', 'NN', 'O'), ('inherited', 'VBD', 'O'), ('many', 'JJ', 'O'), ('problems', 'NNS', 'O'), ('from', 'IN', 'O'), ('the', 'DT', 'O'), ('previous', 'JJ', 'O'), ('chair', 'NN', 'O'), ('.', '.', 'O')]","[(' The new chairman', 'NP', 'chairman'), ('many problems', 'NP', 'problems'), ('the previous chair', 'NP', 'chair')]",none,neutral,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4019}"
letter,,trench, letters trenched into the stone .,1,0,  letter trench into the stone .,SPACE NOUN VERB ADP DET NOUN PUNCT,_SP NNS VBN IN DT NN ., ROOT acl prep det pobj punct,,"[(' ', '_SP', 'O'), ('letters', 'NNS', 'O'), ('trenched', 'VBN', 'O'), ('into', 'IN', 'O'), ('the', 'DT', 'O'), ('stone', 'NN', 'O'), ('.', '.', 'O')]","[(' letters', 'NP', 'letters'), ('the stone', 'NP', 'stone')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
hatred,,ignite, The ostentatious way of living of the rich ignites the hatred of the poor .,8,1,  the ostentatious way of living of the rich ignite the hatred of the poor .,SPACE DET ADJ NOUN ADP NOUN ADP DET ADJ VERB DET NOUN ADP DET ADJ PUNCT,_SP DT JJ NN IN NN IN DT JJ VBZ DT NN IN DT JJ ., det amod nsubj prep pobj prep det pobj ROOT det dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('ostentatious', 'JJ', 'O'), ('way', 'NN', 'O'), ('of', 'IN', 'O'), ('living', 'NN', 'O'), ('of', 'IN', 'O'), ('the', 'DT', 'O'), ('rich', 'JJ', 'O'), ('ignites', 'VBZ', 'O'), ('the', 'DT', 'O'), ('hatred', 'NN', 'O'), ('of', 'IN', 'O'), ('the', 'DT', 'O'), ('poor', 'JJ', 'O'), ('.', '.', 'O')]","[(' The ostentatious way', 'NP', 'way'), ('living', 'NP', 'living'), ('the hatred', 'NP', 'hatred')]",none,neutral,"{'neg': 0.333, 'neu': 0.502, 'pos': 0.164, 'compound': -0.5719}"
food,,bolt, Do n't bolt your food !,2,1,  do n't bolt -PRON- food !,SPACE AUX PART VERB DET NOUN PUNCT,_SP VB RB VB PRP$ NN ., aux neg ROOT poss dobj punct,,"[(' ', '_SP', 'O'), ('Do', 'VB', 'O'), (""n't"", 'RB', 'O'), ('bolt', 'VB', 'O'), ('your', 'PRP$', 'O'), ('food', 'NN', 'O'), ('!', '.', 'O')]","[('your food', 'NP', 'food')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
pillow,,stuff, stuff a pillow with feathers .,0,0,  stuff a pillow with feather .,SPACE NOUN DET NOUN ADP NOUN PUNCT,_SP NN DT NN IN NNS ., ROOT det dobj prep pobj punct,,"[(' ', '_SP', 'O'), ('stuff', 'NN', 'O'), ('a', 'DT', 'O'), ('pillow', 'NN', 'O'), ('with', 'IN', 'O'), ('feathers', 'NNS', 'O'), ('.', '.', 'O')]","[(' stuff', 'NP', 'stuff'), ('a pillow', 'NP', 'pillow'), ('feathers', 'NP', 'feathers')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
way,,claw, They clawed their way to the top of the mountain .,1,1,  -PRON- claw -PRON- way to the top of the mountain .,SPACE PRON VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT,_SP PRP VBD PRP$ NN IN DT NN IN DT NN ., nsubj ROOT poss dobj prep det pobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('They', 'PRP', 'O'), ('clawed', 'VBD', 'O'), ('their', 'PRP$', 'O'), ('way', 'NN', 'O'), ('to', 'IN', 'O'), ('the', 'DT', 'O'), ('top', 'NN', 'O'), ('of', 'IN', 'O'), ('the', 'DT', 'O'), ('mountain', 'NN', 'O'), ('.', '.', 'O')]","[(' They', 'NP', 'They'), ('their way', 'NP', 'way'), ('the top', 'NP', 'top'), ('the mountain', 'NP', 'mountain')]",none,neutral,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}"
security,,negociate, negociate securities .,0,0,  negociate security .,SPACE PROPN NOUN PUNCT,_SP NNP NNS ., ROOT dobj punct,,"[(' ', '_SP', 'O'), ('negociate', 'NNP', 'O'), ('securities', 'NNS', 'O'), ('.', '.', 'O')]","[(' negociate', 'NP', 'negociate'), ('securities', 'NP', 'securities')]",none,postive,"{'neg': 0.0, 'neu': 0.312, 'pos': 0.688, 'compound': 0.296}"
star,,flare, Every star seemed to flare with new intensity .,4,1,  every star seem to flare with new intensity .,SPACE DET NOUN VERB PART VERB ADP ADJ NOUN PUNCT,_SP DT NN VBD TO VB IN JJ NN ., det nsubj ROOT aux xcomp prep amod pobj punct,,"[(' ', '_SP', 'O'), ('Every', 'DT', 'O'), ('star', 'NN', 'O'), ('seemed', 'VBD', 'O'), ('to', 'TO', 'O'), ('flare', 'VB', 'O'), ('with', 'IN', 'O'), ('new', 'JJ', 'O'), ('intensity', 'NN', 'O'), ('.', '.', 'O')]","[(' Every star', 'NP', 'star'), ('new intensity', 'NP', 'intensity')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
job,,juggle, She had to juggle her job and her children .,3,1,  -PRON- have to juggle -PRON- job and -PRON- child .,SPACE PRON AUX PART VERB DET NOUN CCONJ DET NOUN PUNCT,_SP PRP VBD TO VB PRP$ NN CC PRP$ NNS ., nsubj ROOT aux xcomp poss dobj cc poss conj punct,,"[(' ', '_SP', 'O'), ('She', 'PRP', 'O'), ('had', 'VBD', 'O'), ('to', 'TO', 'O'), ('juggle', 'VB', 'O'), ('her', 'PRP$', 'O'), ('job', 'NN', 'O'), ('and', 'CC', 'O'), ('her', 'PRP$', 'O'), ('children', 'NNS', 'O'), ('.', '.', 'O')]","[(' She', 'NP', 'She'), ('her job', 'NP', 'job'), ('her children', 'NP', 'children')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
foundation,,lay, lay the foundation for a new health care plan .,0,1,  lie the foundation for a new health care plan .,SPACE VERB DET NOUN ADP DET ADJ NOUN NOUN NOUN PUNCT,_SP VBD DT NN IN DT JJ NN NN NN ., ROOT det dobj prep det amod compound compound pobj punct,,"[(' ', '_SP', 'O'), ('lay', 'VBD', 'O'), ('the', 'DT', 'O'), ('foundation', 'NN', 'O'), ('for', 'IN', 'O'), ('a', 'DT', 'O'), ('new', 'JJ', 'O'), ('health', 'NN', 'O'), ('care', 'NN', 'O'), ('plan', 'NN', 'O'), ('.', '.', 'O')]","[('the foundation', 'NP', 'foundation'), ('a new health care plan', 'NP', 'plan')]",none,neutral,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.4939}"
garbage,,flush, The garbage flushed down the river .,2,0,  the garbage flush down the river .,SPACE DET NOUN VERB ADP DET NOUN PUNCT,_SP DT NN VBD IN DT NN ., det nsubj ROOT prep det pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('garbage', 'NN', 'O'), ('flushed', 'VBD', 'O'), ('down', 'IN', 'O'), ('the', 'DT', 'O'), ('river', 'NN', 'O'), ('.', '.', 'O')]","[(' The garbage', 'NP', 'garbage'), ('the river', 'NP', 'river')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
charge,,inflate, The charges were inflated .,3,1,  the charge be inflate .,SPACE DET NOUN AUX VERB PUNCT,_SP DT NNS VBD VBN ., det nsubjpass auxpass ROOT punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('charges', 'NNS', 'O'), ('were', 'VBD', 'O'), ('inflated', 'VBN', 'O'), ('.', '.', 'O')]","[(' The charges', 'NP', 'charges')]",none,neutral,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.2732}"
water,,form, the water formed little beads .,2,0,  the water form little bead .,SPACE DET NOUN VERB ADJ NOUN PUNCT,_SP DT NN VBD JJ NNS ., det nsubj ROOT amod dobj punct,,"[(' ', '_SP', 'O'), ('the', 'DT', 'O'), ('water', 'NN', 'O'), ('formed', 'VBD', 'O'), ('little', 'JJ', 'O'), ('beads', 'NNS', 'O'), ('.', '.', 'O')]","[(' the water', 'NP', 'water'), ('little beads', 'NP', 'beads')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
