id,sentence,word,label,predict
a3m-fragment02_55_15,""" they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre ""[SEP]""reduce""[SEP]""VERB""[SEP]""VB""",reduce,1,0
a3m-fragment02_56_12,""" with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) ""[SEP]""forgetting""[SEP]""VERB""[SEP]""VBG""",forgetting,0,0
a3m-fragment02_56_28,""" trams had been largely relegated to the history books .""[SEP]""relegated""[SEP]""VERB""[SEP]""VBN""",relegated,0,1
a3m-fragment02_57_7,""" the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .""[SEP]""see""[SEP]""VERB""[SEP]""VB""",see,0,0
a3m-fragment02_57_8,""" the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .""[SEP]""working""[SEP]""VERB""[SEP]""VBG""",working,1,0
a3m-fragment02_58_2,"""Trams disappeared from most British cities in the 1950s .""[SEP]""disappeared""[SEP]""VERB""[SEP]""VBD""",disappeared,0,1
a3m-fragment02_59_8,"""London 's venerable red and cream double-deckers rumbled along the Thames embankment for the last time in 1952 .""[SEP]""rumbled""[SEP]""VERB""[SEP]""VBD""",rumbled,0,1
a3m-fragment02_60_22,""" slatted wooden seats and growling electric motor has stuck in the British mind .""[SEP]""growling""[SEP]""VERB""[SEP]""VBG""",growling,1,1
a3m-fragment02_60_26,""" slatted wooden seats and growling electric motor has stuck in the British mind .""[SEP]""stuck""[SEP]""VERB""[SEP]""VBN""",stuck,1,1
a3m-fragment02_61_5,""" it was believed until surprisingly recently ""[SEP]""believed""[SEP]""VERB""[SEP]""VBN""",believed,0,0
a3m-fragment02_62_10,"""They had something to do with fish and chips wrapped in newspaper ""[SEP]""wrapped""[SEP]""VERB""[SEP]""VBN""",wrapped,0,0
a3m-fragment02_63_2,"""They held up the bright new diesel buses and ""[SEP]""held""[SEP]""VERB""[SEP]""VBN""",held,1,0
a3m-fragment02_63_14,""" blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .""[SEP]""blocked""[SEP]""VERB""[SEP]""VBN""",blocked,1,1
a3m-fragment02_64_2,"""They picked up power from a spider 's web of unsightly overhead wires .""[SEP]""picked""[SEP]""VERB""[SEP]""VBN""",picked,1,1
a3m-fragment02_65_21,""" and mobile reminders of TB epidemics with the enamelled ‘ Do Not Spit ’ signs screwed to their bulkheads .""[SEP]""Spit""[SEP]""VERB""[SEP]""VB""",Spit,0,0
a3m-fragment02_65_24,""" and mobile reminders of TB epidemics with the enamelled ‘ Do Not Spit ’ signs screwed to their bulkheads .""[SEP]""screwed""[SEP]""VERB""[SEP]""VBN""",screwed,0,0
a3m-fragment02_67_2,"""It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .""[SEP]""plays""[SEP]""VERB""[SEP]""VBZ""",plays,1,1
a3m-fragment02_67_7,"""It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .""[SEP]""keeping""[SEP]""VERB""[SEP]""VBG""",keeping,1,1
a3m-fragment02_68_10,""" the commission to design the new generation of ‘ Jumbo ’ trams ""[SEP]""design""[SEP]""NOUN""[SEP]""NN""",design,0,1
a3m-fragment02_68_21,""" which went into service in 1979 ""[SEP]""went""[SEP]""VERB""[SEP]""VBD""",went,1,1
a3m-fragment02_68_30,""" was one that leading Italian architects and designers fought over .""[SEP]""leading""[SEP]""VERB""[SEP]""VBG""",leading,1,1
a3m-fragment02_68_35,""" was one that leading Italian architects and designers fought over .""[SEP]""fought""[SEP]""VERB""[SEP]""VBN""",fought,1,1
a3m-fragment02_69_10,""" a handsome and imposing articulated unit designed by architect ""[SEP]""imposing""[SEP]""VERB""[SEP]""VBG""",imposing,0,0
a3m-fragment02_69_13,""" a handsome and imposing articulated unit designed by architect ""[SEP]""designed""[SEP]""VERB""[SEP]""VBN""",designed,0,0
a3m-fragment02_69_26,""" will be seen on the streets of Milan for the next half-century .""[SEP]""seen""[SEP]""VERB""[SEP]""VBN""",seen,0,0
a3m-fragment02_72_1,"""Assuming the power station at the end of the line burns cleanly ""[SEP]""Assuming""[SEP]""VERB""[SEP]""VBG""",Assuming,1,0
a3m-fragment02_73_1,"""Standing at traffic lights a Koenig-designed Jumbo is ""[SEP]""Standing""[SEP]""NOUN""[SEP]""NN""",Standing,1,0
a3m-fragment02_73_10,""" save for the chatter inside ""[SEP]""save""[SEP]""VERB""[SEP]""VB""",save,0,0
a3m-fragment02_74_11,"""The overhead wires are so slight that you have to look hard to see them .""[SEP]""look""[SEP]""VERB""[SEP]""VB""",look,0,0
a3m-fragment02_74_14,"""The overhead wires are so slight that you have to look hard to see them .""[SEP]""see""[SEP]""VERB""[SEP]""VB""",see,0,0
a3m-fragment02_75_5,"""Powers of acceleration and braking are remarkable ""[SEP]""braking""[SEP]""VERB""[SEP]""VBG""",braking,0,0
a3m-fragment02_76_14,""" there is no indication that the GMA consortium which will design ""[SEP]""design""[SEP]""NOUN""[SEP]""NN""",design,1,1
a3m-fragment02_76_16,""" operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .""[SEP]""operate""[SEP]""VERB""[SEP]""VB""",operate,1,0
a3m-fragment02_76_18,""" operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .""[SEP]""maintain""[SEP]""VERB""[SEP]""VB""",maintain,1,0
a3m-fragment02_76_30,""" operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .""[SEP]""share""[SEP]""NOUN""[SEP]""NN""",share,1,1
a3m-fragment02_77_4,"""Artists ' impressions show a tram that has more in common with the flat-faced ""[SEP]""show""[SEP]""PROPN""[SEP]""NNP""",show,1,1
a3m-fragment02_77_14,"""Artists ' impressions show a tram that has more in common with the flat-faced ""[SEP]""flat-faced""[SEP]""ADV""[SEP]""RB""",flat-faced,1,0
a3m-fragment02_78_19,""" Amec and Greater Manchester Buses ) to consider employing an inspired architect or industrial designer .""[SEP]""consider""[SEP]""VERB""[SEP]""VB""",consider,1,1
a3m-fragment02_78_20,""" Amec and Greater Manchester Buses ) to consider employing an inspired architect or industrial designer .""[SEP]""employing""[SEP]""VERB""[SEP]""VBG""",employing,0,0
a3m-fragment02_79_12,""" Mancunians and visitors to the Manchester conurbation are going to have to look at these mechanical millipedes for well into the twenty-first century .""[SEP]""going""[SEP]""VERB""[SEP]""VBG""",going,0,0
a3m-fragment02_79_16,""" Mancunians and visitors to the Manchester conurbation are going to have to look at these mechanical millipedes for well into the twenty-first century .""[SEP]""look""[SEP]""VERB""[SEP]""VB""",look,0,0
a3m-fragment02_80_7,"""Now that buses are no longer designed to enhance the streets they serve ""[SEP]""designed""[SEP]""VERB""[SEP]""VBN""",designed,0,1
a3m-fragment02_80_9,"""Now that buses are no longer designed to enhance the streets they serve ""[SEP]""enhance""[SEP]""VERB""[SEP]""VB""",enhance,0,0
a3m-fragment02_80_13,"""Now that buses are no longer designed to enhance the streets they serve ""[SEP]""serve""[SEP]""VERB""[SEP]""VB""",serve,1,1
a3m-fragment02_80_20,""" Manchester has a chance to make a fresh start with its trams .""[SEP]""make""[SEP]""VERB""[SEP]""VB""",make,1,1
a3m-fragment02_82_13,""" are also considering modern tramways .""[SEP]""considering""[SEP]""VERB""[SEP]""VBG""",considering,1,1
a3m-fragment02_83_4,"""These are all referred to as ‘ supertram ’ networks ""[SEP]""referred""[SEP]""VERB""[SEP]""VBN""",referred,0,0
a3m-fragment02_84_4,"""What it really means is that the new trams are a hybrid between street car and lightweight suburban train .""[SEP]""means""[SEP]""VERB""[SEP]""VBZ""",means,1,1
a3m-fragment02_85_4,"""Although they will slip through the city centre serving the essential parts — shopping malls ""[SEP]""slip""[SEP]""VERB""[SEP]""VB""",slip,1,1
a3m-fragment02_85_9,"""Although they will slip through the city centre serving the essential parts — shopping malls ""[SEP]""serving""[SEP]""VERB""[SEP]""VBG""",serving,1,1
a3m-fragment02_85_33,""" amusement arcades and museums — the Manchester supertrams will also head out of town on a mix of reserved track and existing railway lines .""[SEP]""head""[SEP]""NOUN""[SEP]""NN""",head,1,1
a3m-fragment02_85_44,""" amusement arcades and museums — the Manchester supertrams will also head out of town on a mix of reserved track and existing railway lines .""[SEP]""existing""[SEP]""VERB""[SEP]""VBG""",existing,0,0
a3m-fragment02_86_24,""" those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .""[SEP]""rasping""[SEP]""ADJ""[SEP]""JJ""",rasping,1,1
a3m-fragment02_86_27,""" those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .""[SEP]""change""[SEP]""NOUN""[SEP]""NN""",change,1,1
a3m-fragment02_86_39,""" those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .""[SEP]""fumes""[SEP]""NOUN""[SEP]""NNS""",fumes,0,0
a3m-fragment02_87_3,"""They will perform some of the same functions ""[SEP]""perform""[SEP]""VERB""[SEP]""VB""",perform,1,0
a3m-fragment02_88_7,"""And although the supertram concept will spread through major cities during the next decade ""[SEP]""spread""[SEP]""VERB""[SEP]""VBN""",spread,1,1
a36-fragment07_181_7,"""IT WAS unfair of Auden to suggest ""[SEP]""suggest""[SEP]""VERB""[SEP]""VBP""",suggest,1,0
a36-fragment07_182_6,"""But the vaporous presences that float through this slender and anaemic first novel by a notable poet would appear to support the claim .""[SEP]""float""[SEP]""VERB""[SEP]""VB""",float,1,1
a36-fragment07_182_19,"""But the vaporous presences that float through this slender and anaemic first novel by a notable poet would appear to support the claim .""[SEP]""appear""[SEP]""VERB""[SEP]""VBP""",appear,0,1
a36-fragment07_182_21,"""But the vaporous presences that float through this slender and anaemic first novel by a notable poet would appear to support the claim .""[SEP]""support""[SEP]""NOUN""[SEP]""NN""",support,1,1
a36-fragment07_183_5,"""The book — which opens a projected sequence of novels that will cover the period from 1968 to the present day — aims to explore what the blurb describes as ‘ the painful transition from youth to adulthood ’ .""[SEP]""opens""[SEP]""VERB""[SEP]""VBZ""",opens,1,1
a36-fragment07_183_13,"""The book — which opens a projected sequence of novels that will cover the period from 1968 to the present day — aims to explore what the blurb describes as ‘ the painful transition from youth to adulthood ’ .""[SEP]""cover""[SEP]""NOUN""[SEP]""NN""",cover,1,1
a36-fragment07_183_23,"""The book — which opens a projected sequence of novels that will cover the period from 1968 to the present day — aims to explore what the blurb describes as ‘ the painful transition from youth to adulthood ’ .""[SEP]""aims""[SEP]""NOUN""[SEP]""NNS""",aims,1,1
a36-fragment07_183_25,"""The book — which opens a projected sequence of novels that will cover the period from 1968 to the present day — aims to explore what the blurb describes as ‘ the painful transition from youth to adulthood ’ .""[SEP]""explore""[SEP]""VERB""[SEP]""VB""",explore,1,1
a36-fragment07_183_29,"""The book — which opens a projected sequence of novels that will cover the period from 1968 to the present day — aims to explore what the blurb describes as ‘ the painful transition from youth to adulthood ’ .""[SEP]""describes""[SEP]""VERB""[SEP]""VBZ""",describes,1,1
a36-fragment07_184_12,""" is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the tremulously sensitive probing of feelings .""[SEP]""seems""[SEP]""VERB""[SEP]""VBZ""",seems,0,0
a36-fragment07_184_23,""" is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the tremulously sensitive probing of feelings .""[SEP]""offers""[SEP]""VERB""[SEP]""VBZ""",offers,0,1
a36-fragment07_184_28,""" is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the tremulously sensitive probing of feelings .""[SEP]""probing""[SEP]""VERB""[SEP]""VBG""",probing,1,1
a36-fragment07_186_4,"""What Andrew Motion presents us with here is a static and humourless mood-piece filled with over-elaborate imagery .""[SEP]""presents""[SEP]""VERB""[SEP]""VBZ""",presents,1,1
a36-fragment07_186_14,"""What Andrew Motion presents us with here is a static and humourless mood-piece filled with over-elaborate imagery .""[SEP]""filled""[SEP]""VERB""[SEP]""VBN""",filled,1,1
a36-fragment07_187_8,""" is suffering from the adolescent 's emotional confusion and acute self-consciousness .""[SEP]""suffering""[SEP]""NOUN""[SEP]""NN""",suffering,0,0
a36-fragment07_188_2,"""He finds it hard to communicate with people ""[SEP]""finds""[SEP]""VERB""[SEP]""VBZ""",finds,1,1
a36-fragment07_188_6,"""He finds it hard to communicate with people ""[SEP]""communicate""[SEP]""VERB""[SEP]""VB""",communicate,0,0
a36-fragment07_190_11,""" is the most vividly realised character in the book : nervy ""[SEP]""realised""[SEP]""VERB""[SEP]""VBN""",realised,0,0
a36-fragment07_190_30,""" she thinks primarily of her appearance ""[SEP]""thinks""[SEP]""VERB""[SEP]""VBZ""",thinks,0,0
a36-fragment07_190_38,""" even when visiting her dying daughter ""[SEP]""visiting""[SEP]""VERB""[SEP]""VBG""",visiting,0,0
a36-fragment07_190_40,""" even when visiting her dying daughter ""[SEP]""dying""[SEP]""VERB""[SEP]""VBG""",dying,0,0
a36-fragment07_191_8,"""The first half of the novel is dominated by the girl 's death from leukaemia .""[SEP]""dominated""[SEP]""VERB""[SEP]""VBN""",dominated,1,1
a36-fragment07_192_25,""" but she herself is too sketchily drawn for the episode to carry much weight .""[SEP]""drawn""[SEP]""VERB""[SEP]""VBN""",drawn,1,1
a36-fragment07_192_30,""" but she herself is too sketchily drawn for the episode to carry much weight .""[SEP]""carry""[SEP]""VERB""[SEP]""VB""",carry,1,1
a36-fragment07_193_10,""" Francis is conducting a love-affair with an older pupil named Keith Ogilvie .""[SEP]""conducting""[SEP]""VERB""[SEP]""VBG""",conducting,1,1
a36-fragment07_193_17,""" Francis is conducting a love-affair with an older pupil named Keith Ogilvie .""[SEP]""named""[SEP]""VERB""[SEP]""VBN""",named,0,0
a36-fragment07_194_4,"""He is finally rejected by the devious ""[SEP]""rejected""[SEP]""VERB""[SEP]""VBN""",rejected,0,0
a36-fragment07_194_13,""" who informs him that he is ‘ obsolete ’ because he does not ‘ know how to make things happen ’ .""[SEP]""informs""[SEP]""VERB""[SEP]""VBZ""",informs,0,0
a36-fragment07_194_26,""" who informs him that he is ‘ obsolete ’ because he does not ‘ know how to make things happen ’ .""[SEP]""know""[SEP]""VERB""[SEP]""VB""",know,0,0
a36-fragment07_194_29,""" who informs him that he is ‘ obsolete ’ because he does not ‘ know how to make things happen ’ .""[SEP]""make""[SEP]""VERB""[SEP]""VB""",make,1,1
a36-fragment07_194_31,""" who informs him that he is ‘ obsolete ’ because he does not ‘ know how to make things happen ’ .""[SEP]""happen""[SEP]""VERB""[SEP]""VB""",happen,0,0
a36-fragment07_195_20,"""His response to this rejection is as flat as his reaction to the massive demonstration which Keith has earlier persuaded him to join against the Vietnam War .""[SEP]""persuaded""[SEP]""VERB""[SEP]""VBD""",persuaded,0,0
a36-fragment07_195_23,"""His response to this rejection is as flat as his reaction to the massive demonstration which Keith has earlier persuaded him to join against the Vietnam War .""[SEP]""join""[SEP]""VERB""[SEP]""VB""",join,1,1
a36-fragment07_196_5,""" described at length in hysterically colourful terms ""[SEP]""described""[SEP]""VERB""[SEP]""VBN""",described,0,0
a36-fragment07_196_21,""" is the only piece of history to be woven convincingly into the plot .""[SEP]""woven""[SEP]""VERB""[SEP]""VBN""",woven,1,1
a36-fragment07_197_9,"""Other broad hints as to the date are inserted with a comical lack of subtlety : ‘ My God ""[SEP]""inserted""[SEP]""VERB""[SEP]""VBN""",inserted,1,1
a36-fragment07_197_25,""" have you heard ? ’ exclaims Francis 's mother one day as she greets him ""[SEP]""heard""[SEP]""VERB""[SEP]""VBN""",heard,0,0
a36-fragment07_197_28,""" have you heard ? ’ exclaims Francis 's mother one day as she greets him ""[SEP]""exclaims""[SEP]""VERB""[SEP]""VBZ""",exclaims,0,0
a36-fragment07_197_36,""" have you heard ? ’ exclaims Francis 's mother one day as she greets him ""[SEP]""greets""[SEP]""VERB""[SEP]""VBZ""",greets,0,0
a36-fragment07_198_4,"""It 's been invaded . ’""[SEP]""invaded""[SEP]""VERB""[SEP]""VBN""",invaded,0,0
a36-fragment07_199_12,"""Motion will have to do better than this if he seriously intends his series of novels to capture the feel of a period .""[SEP]""intends""[SEP]""VERB""[SEP]""VBZ""",intends,0,0
a36-fragment07_199_18,"""Motion will have to do better than this if he seriously intends his series of novels to capture the feel of a period .""[SEP]""capture""[SEP]""NOUN""[SEP]""NN""",capture,1,1
a36-fragment07_200_7,"""But the book 's principal defect remains the vacuity of its protagonist .""[SEP]""remains""[SEP]""VERB""[SEP]""VBZ""",remains,0,1
a36-fragment07_201_5,"""In his eagerness to depict the cloudy psychology of an adolescent ""[SEP]""depict""[SEP]""VERB""[SEP]""VB""",depict,0,1
a36-fragment07_201_15,""" Motion has forgotten to give the boy a personality .""[SEP]""forgotten""[SEP]""VERB""[SEP]""VBN""",forgotten,0,0
a36-fragment07_201_17,""" Motion has forgotten to give the boy a personality .""[SEP]""give""[SEP]""VERB""[SEP]""VB""",give,1,1
a36-fragment07_202_6,""" given him a psychotic compulsion to formulate fanciful similes .""[SEP]""given""[SEP]""VERB""[SEP]""VBN""",given,1,1
a36-fragment07_202_12,""" given him a psychotic compulsion to formulate fanciful similes .""[SEP]""formulate""[SEP]""VERB""[SEP]""VB""",formulate,0,1
a36-fragment07_203_4,"""Hardly a page goes by without the hapless Francis noticing something which reminds him ""[SEP]""goes""[SEP]""VERB""[SEP]""VBZ""",goes,1,1
a36-fragment07_203_10,"""Hardly a page goes by without the hapless Francis noticing something which reminds him ""[SEP]""noticing""[SEP]""VERB""[SEP]""VBG""",noticing,0,0
a36-fragment07_203_13,"""Hardly a page goes by without the hapless Francis noticing something which reminds him ""[SEP]""reminds""[SEP]""VERB""[SEP]""VBZ""",reminds,0,0
a36-fragment07_204_4,"""Sometimes he is reminded of several things .""[SEP]""reminded""[SEP]""VERB""[SEP]""VBD""",reminded,0,0
a36-fragment07_205_8,"""One moment an avenue of chestnut trees looks ‘ like a child 's drawing of ghosts ’ ; the next it appears ‘ frightening but derelict ""[SEP]""looks""[SEP]""VERB""[SEP]""VBZ""",looks,0,0
a36-fragment07_205_22,"""One moment an avenue of chestnut trees looks ‘ like a child 's drawing of ghosts ’ ; the next it appears ‘ frightening but derelict ""[SEP]""appears""[SEP]""VERB""[SEP]""VBZ""",appears,0,0
a36-fragment07_205_29,""" like extinguished chandeliers ’ ; and finally the chestnuts ‘ prance at him ""[SEP]""extinguished""[SEP]""VERB""[SEP]""VBN""",extinguished,1,1
a36-fragment07_205_38,""" like extinguished chandeliers ’ ; and finally the chestnuts ‘ prance at him ""[SEP]""prance""[SEP]""VERB""[SEP]""VB""",prance,1,1
a36-fragment07_205_42,""" holding up their gleaming branches like hysterics . ’""[SEP]""holding""[SEP]""VERB""[SEP]""VBG""",holding,1,0
a36-fragment07_205_45,""" holding up their gleaming branches like hysterics . ’""[SEP]""gleaming""[SEP]""VERB""[SEP]""VBG""",gleaming,0,0
a36-fragment07_206_4,"""Such writing rapidly palls ""[SEP]""palls""[SEP]""NOUN""[SEP]""NNS""",palls,0,1
a36-fragment07_206_8,""" and I hope that in the novels to come ""[SEP]""hope""[SEP]""NOUN""[SEP]""NN""",hope,0,0
a36-fragment07_206_14,""" and I hope that in the novels to come ""[SEP]""come""[SEP]""VERB""[SEP]""VB""",come,1,1
a36-fragment07_206_18,""" Motion can curb his reckless passion for it .""[SEP]""curb""[SEP]""NOUN""[SEP]""NN""",curb,0,1
ahc-fragment61_1252_6,"""Travel : A pilgrimage sans progress Elisabeth de Stroumillo potters round Poitou""[SEP]""progress""[SEP]""NOUN""[SEP]""NN""",progress,1,0
ahc-fragment61_1252_11,"""Travel : A pilgrimage sans progress Elisabeth de Stroumillo potters round Poitou""[SEP]""round""[SEP]""ADV""[SEP]""RB""",round,0,0
ahc-fragment61_1254_2,"""PEOPLE tend to look vague when you mention Poitou .""[SEP]""tend""[SEP]""VERB""[SEP]""VB""",tend,0,0
ahc-fragment61_1254_4,"""PEOPLE tend to look vague when you mention Poitou .""[SEP]""look""[SEP]""VERB""[SEP]""VB""",look,1,0
ahc-fragment61_1254_8,"""PEOPLE tend to look vague when you mention Poitou .""[SEP]""mention""[SEP]""VERB""[SEP]""VB""",mention,0,0
ahc-fragment61_1255_10,"""‘ Umm … not a part of France we know … where exactly is it ? ’""[SEP]""know""[SEP]""VERB""[SEP]""VB""",know,0,0
ahc-fragment61_1256_7,""" you say ; north of Cognac and east of Limoges .""[SEP]""say""[SEP]""VERB""[SEP]""VB""",say,0,0
ahc-fragment61_1257_7,"""You sort of pass it without realising ""[SEP]""realising""[SEP]""VERB""[SEP]""VBG""",realising,0,0
ahc-fragment61_1257_9,""" going to the Dordogne .""[SEP]""going""[SEP]""VERB""[SEP]""VBG""",going,0,0
ahc-fragment61_1260_28,""" bother with it .""[SEP]""bother""[SEP]""VERB""[SEP]""VB""",bother,0,0
ahc-fragment61_1261_9,""" the variety to be found is enormous .""[SEP]""found""[SEP]""VERB""[SEP]""VBN""",found,1,0
ahc-fragment61_1262_14,""" in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .""[SEP]""proportioned""[SEP]""VERB""[SEP]""VBN""",proportioned,0,0
ahc-fragment61_1262_16,""" in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .""[SEP]""elevated""[SEP]""ADJ""[SEP]""JJ""",elevated,1,1
ahc-fragment61_1262_31,""" in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .""[SEP]""go""[SEP]""VERB""[SEP]""VB""",go,0,0
ahc-fragment61_1262_36,""" in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .""[SEP]""look""[SEP]""VERB""[SEP]""VB""",look,0,0
ahc-fragment61_1262_45,""" in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .""[SEP]""going""[SEP]""VERB""[SEP]""VBG""",going,1,0
ahc-fragment61_1262_52,""" in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .""[SEP]""ignoring""[SEP]""VERB""[SEP]""VBG""",ignoring,1,0
ahc-fragment61_1263_11,"""For serious drinkers there is the production of cognac to investigate around Cognac ""[SEP]""investigate""[SEP]""VERB""[SEP]""VB""",investigate,0,1
ahc-fragment61_1263_26,""" the powerful local aperitif made from young wine laced with cognac .""[SEP]""made""[SEP]""VERB""[SEP]""VBN""",made,0,1
ahc-fragment61_1263_30,""" the powerful local aperitif made from young wine laced with cognac .""[SEP]""laced""[SEP]""VERB""[SEP]""VBN""",laced,1,1
ahc-fragment61_1264_23,""" shapely clumps of trees are almost the only punctuation marks on widespreading marshy landscapes ; to the south it bubbles with little rolling hills .""[SEP]""widespreading""[SEP]""VERB""[SEP]""VBG""",widespreading,0,0
ahc-fragment61_1264_31,""" shapely clumps of trees are almost the only punctuation marks on widespreading marshy landscapes ; to the south it bubbles with little rolling hills .""[SEP]""bubbles""[SEP]""NOUN""[SEP]""NNS""",bubbles,1,1
ahc-fragment61_1266_15,"""The lower reaches of the Sevre Niortaise are swollen with the waters that once covered the whole area ""[SEP]""covered""[SEP]""VERB""[SEP]""VBN""",covered,0,0
ahc-fragment61_1266_23,""" until medieval monks started to dig a spider-web of ditches to drain it .""[SEP]""started""[SEP]""VERB""[SEP]""VBD""",started,0,0
ahc-fragment61_1266_25,""" until medieval monks started to dig a spider-web of ditches to drain it .""[SEP]""dig""[SEP]""VERB""[SEP]""VB""",dig,0,0
ahc-fragment61_1266_31,""" until medieval monks started to dig a spider-web of ditches to drain it .""[SEP]""drain""[SEP]""NOUN""[SEP]""NN""",drain,0,0
ahc-fragment61_1267_14,"""Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais ""[SEP]""take""[SEP]""VERB""[SEP]""VB""",take,1,1
ahc-fragment61_1267_22,"""Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais ""[SEP]""changed""[SEP]""VERB""[SEP]""VBN""",changed,0,0
ahc-fragment61_1267_29,"""Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais ""[SEP]""known""[SEP]""VERB""[SEP]""VBN""",known,0,0
ahc-fragment61_1267_40,""" with a huge and rather dull ruined abbey ""[SEP]""ruined""[SEP]""VERB""[SEP]""VBN""",ruined,0,0
